"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
532,50,47,38,0.9333333333333333,0.9140893470790378,0.9333333333333333,0.4845360824742268,0.923611111111111,,
47,38,532,50,0.4845360824742268,0.5529411764705883,0.4845360824742268,0.9333333333333333,0.5164835164835164,,
,,,,,,,,,0.8680659670164917,0.44047891405475487
"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
539,50,47,31,0.9456140350877194,0.9151103565365025,0.9456140350877194,0.4845360824742268,0.9301121656600518,,
47,31,539,50,0.4845360824742268,0.6025641025641025,0.4845360824742268,0.9456140350877194,0.5371428571428571,,
,,,,,,,,,0.8785607196401799,0.4682015493193429
"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
566,63,34,4,0.9929824561403509,0.8998410174880763,0.9929824561403509,0.35051546391752575,0.944120100083403,,
34,4,566,63,0.35051546391752575,0.8947368421052632,0.35051546391752575,0.9929824561403509,0.5037037037037037,,
,,,,,,,,,0.8995502248875562,0.4594486712711524
"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
558,58,39,12,0.9789473684210527,0.9058441558441559,0.9789473684210527,0.4020618556701031,0.9409780775716695,,
39,12,558,58,0.4020618556701031,0.7647058823529411,0.4020618556701031,0.9789473684210527,0.5270270270270271,,
,,,,,,,,,0.8950524737631185,0.4743419423115896
"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
558,58,39,12,0.9789473684210527,0.9058441558441559,0.9789473684210527,0.4020618556701031,0.9409780775716695,,
39,12,558,58,0.4020618556701031,0.7647058823529411,0.4020618556701031,0.9789473684210527,0.5270270270270271,,
,,,,,,,,,0.8950524737631185,0.4743419423115896
"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
561,51,46,9,0.9842105263157894,0.9166666666666666,0.9842105263157894,0.4742268041237113,0.949238578680203,,
46,9,561,51,0.4742268041237113,0.8363636363636363,0.4742268041237113,0.9842105263157894,0.6052631578947368,,
,,,,,,,,,0.9100449775112444,0.5588332561677357
"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
561,51,46,9,0.9842105263157894,0.9166666666666666,0.9842105263157894,0.4742268041237113,0.949238578680203,,
46,9,561,51,0.4742268041237113,0.8363636363636363,0.4742268041237113,0.9842105263157894,0.6052631578947368,,
,,,,,,,,,0.9100449775112444,0.5588332561677357
